TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 20:05,01F0017N,01F0005N,31,90,52
2024/04/29 20:05,01F0029N,01F0017N,31,86,83
2024/04/29 20:05,01F0005S,01F0017S,31,82,51
2024/04/29 20:05,01F0061N,01F0029N,31,90,91
2024/04/29 20:05,01F0017S,01F0029S,31,90,67
2024/04/29 20:05,01F0099N,01F0061N,31,86,147
2024/04/29 20:05,01F0029S,01F0061S,31,91,92
2024/04/29 20:05,01F0147N,01F0099N,31,90,68
2024/04/29 20:05,01H0174N,01F0099N,31,100,45
2024/04/29 20:05,03F0087S,01F0099N,31,0,0
2024/04/29 20:05,03F0116N,01F0099N,31,79,51
2024/04/29 20:05,01F0061S,01F0099S,31,90,113
2024/04/29 20:05,01F0153N,01F0147N,31,90,133
2024/04/29 20:05,01F0099S,01F0147S,31,86,68
2024/04/29 20:05,03F0087S,01F0147S,31,90,7
2024/04/29 20:05,03F0116N,01F0147S,31,61,19
2024/04/29 20:05,01F0213N,01F0153N,31,82,92
2024/04/29 20:05,01F0147S,01F0153S,31,90,107
2024/04/29 20:05,01F0153S,01F0182S,31,86,113
2024/04/29 20:05,01F0233N,01F0213N,31,86,90
2024/04/29 20:05,01F0256N,01F0233N,31,86,166
2024/04/29 20:05,01F0182S,01F0248S,31,75,162
2024/04/29 20:05,01F0293N,01F0256N,31,90,175
2024/04/29 20:05,01F0248S,01F0264S,31,86,284
2024/04/29 20:05,01F0340N,01F0293N,31,93,155
2024/04/29 20:05,01F0264S,01F0293S,31,93,263
2024/04/29 20:05,01F0293S,01F0339S,31,90,225
2024/04/29 20:05,01H0305S,01F0339S,31,79,121
2024/04/29 20:05,01F0376N,01F0340N,31,86,271
2024/04/29 20:05,01H0447N,01F0340N,31,90,94
2024/04/29 20:05,01F0413N,01F0376N,31,93,134
2024/04/29 20:05,01F0339S,01F0376S,31,86,355
2024/04/29 20:05,01F0467N,01F0413N,31,93,144
2024/04/29 20:05,01F0376S,01F0413S,31,82,184
2024/04/29 20:05,01F0492N,01F0467N,31,93,127
2024/04/29 20:05,01F0413S,01F0467S,31,90,181
2024/04/29 20:05,01F0511N,01F0492N,31,100,138
2024/04/29 20:05,01F0467S,01F0492S,31,97,154
2024/04/29 20:05,01F0532N,01F0511N,31,93,156
2024/04/29 20:05,03F0525S,01F0511N,31,90,7
2024/04/29 20:05,03F0559N,01F0511N,31,90,7
2024/04/29 20:05,01F0492S,01F0511S,31,93,169
2024/04/29 20:05,01F0532S,01F0532N,31,3,5
2024/04/29 20:05,01F0557N,01F0532N,31,97,211
2024/04/29 20:05,01F0511S,01F0532S,31,90,148
2024/04/29 20:05,03F0525S,01F0532S,31,90,13
2024/04/29 20:05,03F0559N,01F0532S,31,25,1
2024/04/29 20:05,01F0584N,01F0557N,31,97,151
2024/04/29 20:05,01F0532S,01F0557S,31,90,188
2024/04/29 20:05,01F0557N,01F0557S,31,0,9
2024/04/29 20:05,01F0557S,01F0578S,31,93,111
2024/04/29 20:05,01F0633N,01F0584N,31,93,121
2024/04/29 20:05,01H0608N,01F0584N,31,93,38
2024/04/29 20:05,01F0664N,01F0633N,31,97,121
2024/04/29 20:05,01F0578S,01F0633S,31,93,86
2024/04/29 20:05,01H0579S,01F0633S,31,93,33
2024/04/29 20:05,01F0681N,01F0664N,31,93,189
2024/04/29 20:05,01F0633S,01F0664S,31,97,95
2024/04/29 20:05,01F0699N,01F0681N,31,90,146
2024/04/29 20:05,01F0664S,01F0681S,31,93,106
2024/04/29 20:05,01F0750N,01F0699N,31,97,180
2024/04/29 20:05,01F0681S,01F0699S,31,90,42
2024/04/29 20:05,01F0880N,01F0750N,31,93,190
2024/04/29 20:05,01F0699S,01F0750S,31,100,75
2024/04/29 20:05,01H0610S,01F0750S,31,97,52
2024/04/29 20:05,01F0928N,01F0880N,31,90,189
2024/04/29 20:05,01F0750S,01F0880S,31,97,152
2024/04/29 20:05,01F0956N,01F0928N,31,82,149
2024/04/29 20:05,01F0880S,01F0928S,31,97,123
2024/04/29 20:05,01F0928S,01F0950S,31,97,107
2024/04/29 20:05,01F0979N,01F0956N,31,97,139
2024/04/29 20:05,01F1045N,01F0979N,31,100,101
2024/04/29 20:05,03F0996S,01F0979N,31,108,19
2024/04/29 20:05,03F1022N,01F0979N,31,75,87
2024/04/29 20:05,01F0950S,01F0980S,31,97,93
2024/04/29 20:05,01F1123N,01F1045N,31,97,109
2024/04/29 20:05,01F0980S,01F1045S,31,97,113
2024/04/29 20:05,03F0996S,01F1045S,31,90,38
2024/04/29 20:05,03F1022N,01F1045S,31,45,2
2024/04/29 20:05,01F1292N,01F1123N,31,100,108
2024/04/29 20:05,01F1045S,01F1123S,31,100,92
2024/04/29 20:05,01F1389N,01F1292N,31,104,120
2024/04/29 20:05,01F1123S,01F1292S,31,100,97
2024/04/29 20:05,01F1465N,01F1389N,31,104,107
2024/04/29 20:05,01F1292S,01F1389S,31,104,65
2024/04/29 20:05,01F1572N,01F1465N,31,104,105
2024/04/29 20:05,01F1389S,01F1465S,31,100,84
2024/04/29 20:05,01F1621N,01F1572N,31,104,83
2024/04/29 20:05,01F1465S,01F1572S,31,100,86
2024/04/29 20:05,01F1664N,01F1621N,31,104,91
2024/04/29 20:05,03F1651S,01F1621N,31,0,0
2024/04/29 20:05,03F1710N,01F1621N,31,0,0
2024/04/29 20:05,01F1572S,01F1621S,31,100,96
2024/04/29 20:05,01F1699N,01F1664N,31,104,148
2024/04/29 20:05,01F1621S,01F1664S,31,104,104
2024/04/29 20:05,03F1651S,01F1664S,31,91,10
2024/04/29 20:05,03F1710N,01F1664S,31,93,2
2024/04/29 20:05,01F1774N,01F1699N,31,97,144
2024/04/29 20:05,01F1664S,01F1699S,31,100,128
2024/04/29 20:05,01F1802N,01F1774N,31,104,93
2024/04/29 20:05,01F1699S,01F1774S,31,97,102
2024/04/29 20:05,01F1839N,01F1802N,31,104,101
2024/04/29 20:05,01F1774S,01F1802S,31,104,66
2024/04/29 20:05,01F1906N,01F1839N,31,104,115
2024/04/29 20:05,01F1802S,01F1839S,31,108,93
2024/04/29 20:05,01F1960N,01F1906N,31,108,109
2024/04/29 20:05,03F1944S,01F1906N,31,75,2
2024/04/29 20:05,03F1992N,01F1906N,31,68,6
2024/04/29 20:05,01F1839S,01F1906S,31,104,99
2024/04/29 20:05,01F2011N,01F1960N,31,108,96
2024/04/29 20:05,01F1906S,01F1960S,31,108,105
2024/04/29 20:05,03F1944S,01F1960S,31,79,19
2024/04/29 20:05,03F1992N,01F1960S,31,72,28
