TimeInterval,GantryFrom,GantryTo,SpaceMeanSpeed,tv31,tv32,tv41,tv42,tv5,highwaynumber,millage,direction,to_highwaynumber,to_millage,to_direction
0.0,01F0005S,01F0017S,0,24,7,0,0,0,01F,5,S,01F,0017,S
0.0,01F0017S,01F0029S,0,27,8,0,0,0,01F,17,S,01F,0029,S
0.0,01F0029S,01F0061S,0,23,9,0,5,0,01F,29,S,01F,0061,S
0.0,01F0061S,01F0099S,64,33,10,0,6,3,01F,61,S,01F,0099,S
0.0,01F0099S,01F0147S,90,15,4,0,4,1,01F,99,S,01F,0147,S
0.0,01F0147S,01F0153S,100,42,6,0,3,1,01F,147,S,01F,0153,S
0.0,01F0153S,01F0182S,82,32,10,0,4,3,01F,153,S,01F,0182,S
0.0,01F0182S,01F0248S,79,32,6,0,2,1,01F,182,S,01F,0248,S
0.0,01F0248S,01F0264S,86,78,13,2,4,1,01F,248,S,01F,0264,S
0.0,01F0264S,01F0293S,88,75,9,4,3,2,01F,264,S,01F,0293,S
0.0,01F0293S,01F0339S,90,68,7,3,2,3,01F,293,S,01F,0339,S
0.0,01F0339S,01F0376S,75,129,19,3,1,1,01F,339,S,01F,0376,S
0.0,01F0376S,01F0413S,46,77,15,1,0,2,01F,376,S,01F,0413,S
0.0,01F0413S,01F0467S,82,92,15,3,2,2,01F,413,S,01F,0467,S
0.0,01F0467S,01F0492S,91,81,13,2,4,2,01F,467,S,01F,0492,S
0.0,01F0492S,01F0511S,86,77,10,1,4,2,01F,492,S,01F,0511,S
0.0,01F0511S,01F0532S,84,56,9,1,2,2,01F,511,S,01F,0532,S
0.0,01F0532S,01F0557S,82,76,20,3,4,3,01F,532,S,01F,0557,S
0.0,01F0557S,01F0578S,84,48,10,1,3,4,01F,557,S,01F,0578,S
0.0,01F0578S,01F0633S,75,42,3,0,5,7,01F,578,S,01F,0633,S
0.0,01F0633S,01F0664S,64,57,5,0,3,5,01F,633,S,01F,0664,S
0.0,01F0664S,01F0681S,91,56,8,0,4,2,01F,664,S,01F,0681,S
0.0,01F0681S,01F0699S,79,39,2,1,4,2,01F,681,S,01F,0699,S
0.0,01F0699S,01F0750S,88,44,12,4,7,4,01F,699,S,01F,0750,S
0.0,01F0750S,01F0880S,91,87,7,2,4,4,01F,750,S,01F,0880,S
0.0,01F0880S,01F0928S,90,79,13,3,3,7,01F,880,S,01F,0928,S
0.0,01F0928S,01F0950S,90,51,10,2,3,7,01F,928,S,01F,0950,S
0.0,01F0950S,01F0980S,86,64,12,3,0,8,01F,950,S,01F,0980,S
0.0,01F0980S,01F1045S,91,59,5,2,2,6,01F,980,S,01F,1045,S
0.0,01F1045S,01F1123S,86,64,10,4,2,5,01F,1045,S,01F,1123,S
0.0,01F1123S,01F1292S,82,45,17,6,6,3,01F,1123,S,01F,1292,S
0.0,01F1292S,01F1389S,86,57,9,5,1,2,01F,1292,S,01F,1389,S
0.0,01F1389S,01F1465S,0,69,9,6,3,0,01F,1389,S,01F,1465,S
0.0,01F1465S,01F1572S,88,78,14,1,3,2,01F,1465,S,01F,1572,S
0.0,01F1572S,01F1621S,0,70,15,1,2,0,01F,1572,S,01F,1621,S
0.0,01F1621S,01F1664S,70,42,10,3,1,2,01F,1621,S,01F,1664,S
0.0,01F1664S,01F1699S,79,51,8,3,1,2,01F,1664,S,01F,1699,S
0.0,01F1699S,01F1774S,86,58,9,2,6,3,01F,1699,S,01F,1774,S
0.0,01F1774S,01F1802S,88,34,13,4,5,4,01F,1774,S,01F,1802,S
0.0,01F1802S,01F1839S,75,55,12,2,1,1,01F,1802,S,01F,1839,S
0.0,01F1839S,01F1906S,77,58,8,0,2,4,01F,1839,S,01F,1906,S
0.0,01F1906S,01F1960S,68,55,9,1,3,1,01F,1906,S,01F,1960,S
0.0,01F1960S,01F2011S,84,61,11,4,4,4,01F,1960,S,01F,2011,S
0.0,01F2011S,01F2089S,82,65,7,3,2,7,01F,2011,S,01F,2089,S
0.0,01F2089S,01F2156S,86,76,7,1,3,6,01F,2089,S,01F,2156,S
0.0,01F2156S,01F2249S,84,52,9,2,3,6,01F,2156,S,01F,2249,S
0.0,01F2249S,01F2322S,86,55,14,3,4,2,01F,2249,S,01F,2322,S
0.0,01F2322S,01F2394S,75,45,16,3,4,3,01F,2322,S,01F,2394,S
0.0,01F2394S,01F2425S,86,45,12,4,1,4,01F,2394,S,01F,2425,S
0.0,01F2425S,01F2472S,86,45,11,4,2,4,01F,2425,S,01F,2472,S
0.0,01F2472S,01F2514S,88,46,10,2,5,2,01F,2472,S,01F,2514,S
0.0,01F2514S,01F2603S,93,47,20,4,2,1,01F,2514,S,01F,2603,S
0.0,01F2603S,01F2674S,86,34,13,4,3,3,01F,2603,S,01F,2674,S
0.0,01F2674S,01F2714S,82,39,17,3,7,6,01F,2674,S,01F,2714,S
